sn,ResponseID,rating,StartDate,EndDate,genderq,ageq,edu,socpol,ecopol,polpos,polpref
8,"R_1IuYNUtQJoJEgEN",6,"2020-11-25 17:44:47","2020-11-25 17:48:03",2,31,4,3,3,3,3
8,"R_27whemu52hpmOD7",6,"2020-11-29 19:36:22","2020-11-29 19:47:27",1,51,6,4,3,2,4
8,"R_2OZ6tehfAqYRDk4",7,"2020-11-29 19:35:18","2020-11-29 19:41:53",1,38,2,2,3,1,2
8,"R_2dyGKWgB1qcHp6o",7,"2020-11-29 19:51:04","2020-11-29 20:01:24",1,74,5,2,2,1,1
8,"R_2eUKA9bqsD2LP5T",7,"2020-11-29 19:26:15","2020-11-29 19:30:39",1,46,5,6,6,2,5
8,"R_2fvuvFrHKvbzQDN",6,"2020-11-29 19:40:30","2020-11-29 19:47:15",2,32,5,2,5,3,3
8,"R_2rJf8uFXvM7uLYL",6,"2020-11-30 00:27:26","2020-11-30 00:41:46",1,37,5,6,5,2,6
8,"R_3JfkpwwySePReJn",7,"2020-11-25 16:18:13","2020-11-25 16:23:36",1,32,5,2,3,1,2
8,"R_3ewykbN7L7jxzRf",7,"2020-11-29 21:35:50","2020-11-29 21:40:44",2,37,5,3,4,3,4
8,"R_3fYL8vguBtQcVpQ",7,"2020-11-29 23:27:21","2020-11-29 23:35:41",1,26,5,3,3,1,3
8,"R_5mCU6GQVdDii2Nr",7,"2020-11-29 21:34:44","2020-11-29 21:39:32",2,46,5,5,5,2,5
8,"R_6r0Ua2rXI1d6XmN",7,"2020-11-29 21:47:24","2020-11-29 21:53:35",2,59,4,1,2,1,1
8,"R_QoZUjBnChcAA9CV",5,"2020-11-29 23:30:36","2020-11-29 23:39:14",2,30,6,6,6,2,6
8,"R_rj5FJYmwmVw0zHr",5,"2020-11-29 21:34:54","2020-11-29 21:38:09",1,28,6,5,4,2,5
9,"R_1GTdEtr6Gdd5TRG",7,"2020-11-29 17:49:06","2020-11-29 17:52:47",2,58,6,1,3,1,1
9,"R_1LRvXCcVNMfS2Wv",5,"2020-11-25 16:48:19","2020-11-25 16:52:29",1,30,4,6,1,3,3
